Paper Name,Paper Link,Authors,Published Year,Published Journal/Conference,Topic,Brief,Prolem,Solution,Method,Data - Link,Conclusion,Next Step
"Pathfinding in Strategy Games and Maze Solving Using A* Search Algorithm
",https://www.scirp.org/journal/paperinformation?paperid=70460,"Nawaf Hazim Barnouti, Sinan Sameer Mahmood Al-Dabbagh, Mustafa Abdul Sahib Naser",2016,Journal of Computer and Communications,Pathfinding in strategy games and maze solving using A* search algorithm,This study proposes the implementation of the A* search algorithm to find the shortest path between a source and a destination on strategy game maps and maze images. The system preprocesses input images by converting maps into RGB regions and mazes into grid representations before applying the A* algorithm for optimal pathfinding.,Real-time pathfinding in computer games requires finding the shortest path while avoiding obstacles under limited CPU and memory resources. Large maps and increasing game complexity create performance bottlenecks.,"The authors implement the A* search algorithm with image preprocessing techniques. The system converts maps into color-coded regions (red, green, blue) and mazes into black-white grid structures, then applies A* using open and closed lists along with cost functions (g, h, f) to compute the shortest path.","Image preprocessing converts maps to RGB regions and mazes to grid structures, models the environment as a graph, and applies the A* algorithm using g, h, and f cost functions. The system was tested on 100 map images and 100 maze images through a Visual Basic GUI implementation.","The experimental data in the referenced paper consists of synthetically generated maze and strategy map images created by the authors. As the dataset was not published in any open-access repository (e.g., Kaggle, GitHub, Zenodo), no direct download link is available",The system successfully finds the shortest path between selected points in more than 85% of the tested images. The results demonstrate that A* is an effective and efficient algorithm for pathfinding in strategy games and maze-solving applications.,"Future work may include comparing A* with other search algorithms, testing on larger and more complex maps, and optimizing performance for real-time game environments."
An Improved A* Path Planning Algorithm for Mobile Robots in Complex Environments,https://www.sciencedirect.com/science/article/pii/S0921889019304922,"Y. Zhang, X. Wang, L. Chen",2020,Robotics and Autonomous Systems (Elsevier),Improved classical A* algorithm for mobile robot navigation,This study proposes an enhanced version of the classical A* path planning algorithm aimed at improving efficiency and path smoothness in complex grid-based environments. The authors introduce heuristic optimization and path smoothing techniques to reduce unnecessary turning points and computational redundancy.,Traditional A* guarantees optimal paths but suffers from:High computational cost in dense environments(2)Large number of node expansions(3)Sharp turning angles unsuitable for real robot motion(4)Increased planning time in large-scale maps(5)These limitations reduce its suitability for real-time robotic applications.,The authors propose an improved A* algorithm that integrates:(1)Modified heuristic function to reduce search space(2)Node pruning strategy(3)Post-processing path smoothing(4)Reduced redundant expansions(5)This maintains near-optimality while improving efficiency.,"(1)Grid-based environment modeling(2)Comparison between classical A* and improved A*.Evaluation metrics:(1)Path length(2)Number of expanded nodes.(3)Computation time
(4)Simulation conducted in MATLAB-based robotic environment.",The study used simulated grid environments; no public dataset link was provided.,The improved A* algorithm significantly reduced node expansions and planning time while generating smoother paths suitable for real robotic navigation. Results show better performance compared to standard A* in complex environments.,(1)Dynamic obstacle environments(2)Real-time embedded robotic systems(3)Hybridization with machine learning-based heuristic estimation.
Shortest Pathfinding in a Standard Rectangular Maze using A* Search Algorithm,https://publisher.uthm.edu.my/ojs/index.php/ijie/article/view/18232/6825,"Ka Heng Chan,Aida Mustapha,Siaw Chong Lee
Faculty of Applied Sciences and Technology, Universiti Tun Hussein Onn Malaysia, KM 1, Jalan Panchor, 84600 Pagoh, Johor, MALAYSIA
",2024,"International Journal of Integrated Engineering (IJIE), Vol. 16 No. 3",Shortest pathfinding in rectangular mazes using A* with heuristic comparison,Develops a MATLAB-based A* algorithm to solve rectangular mazes of various sizes and compares Manhattan and Euclidean heuristics.,Large mazes are time-consuming to solve manually; need an efficient algorithm to find shortest paths and handle different maze scenarios.,Implements A* with two heuristics (Manhattan and Euclidean) and evaluates performance across different maze sizes and types.,Maze translated into text format; A* with open/closed lists and f(n)=g(n)+h(n); tested on 10×10 to 50×50 mazes; repeated 100 times for timing comparison.,Random rectangular mazes (sizes 10×10 to 50×50); performance averaged over 100 runs per size.,"A* successfully finds shortest paths in normal, wider-path, and multiple-path mazes. Manhattan heuristic performs slightly faster than Euclidean. Algorithm fails when no start/end exists.","Test on larger (e.g., 10,000×10,000) and more complex mazes; modify A* to handle unknown start/end points and dynamic or multi-agent environments."
Research on an Improved A* Algorithm for Mobile Robot Path Planning,https://ieeexplore.ieee.org/document/9444638,"J. Liu, H. Zhang, Y. Sun",2021,IEEE Access,Heuristic optimization and efficiency improvement of classical A* for robotic path planning,This paper presents a modified A* algorithm designed to improve search efficiency and reduce redundant node expansion in grid-based environments. The study focuses on optimizing the heuristic function and introducing adaptive weighting to balance optimality and computational cost. The algorithm is tested in simulated robotic environments to evaluate performance improvements over traditional A*.,Classical A* ensures optimal path discovery but suffers from:(1)Large computational overhead in complex environments.(2)Excessive node expansion(3)High memory consumption(4)Slow performance in large-scale maps.These limitations restrict its practical deployment in real-time robotic systems.,The authors propose an enhanced A* algorithm that includes:(1)An improved heuristic function combining Manhattan and Euclidean distance.(2)Adaptive weight adjustment during search.(3)Node pruning mechanism.(4)Reduction of unnecessary re-expansions.The goal is to improve efficiency while maintaining near-optimal path quality.,Grid-based simulation environment.Comparative analysis between:(1)Classical A*(2)Weighted A*(3)Proposed Improved A*.Performance metrics:(1)Path length(2)Computation time(3)Number of expanded nodes.Implementation tested under different obstacle densities,Simulated grid datasets were generated for experimentation; no public dataset repository was provided.,"The proposed improved A* algorithm reduced node expansion and computation time significantly compared to standard A*, while maintaining similar path optimality. The adaptive weighting strategy demonstrated better performance in dense environments.",Future research may focus on:(1)Extension to dynamic obstacle environments.(2)Integration with SLAM systems(3)Hardware-level real-time robotic implementation.
Hybrid A-Star Path Planning Method Based on Hierarchical Clustering and Trichotomy,https://www.researchgate.net/publication/381795234_Hybrid_A-Star_Path_Planning_Method_Based_on_Hierarchical_Clustering_and_Trichotomy,"Tiangen Chang, Guofu Tian",2024,Applied Sciences (MDPI),Improved Hybrid A* algorithm for autonomous vehicles,Improved Hybrid A* algorithm for autonomous vehicles,Standard Hybrid A* produces longer paths and inefficient expansions in narrow or U-shaped spaces,Integrates hierarchical clustering and a trichotomy-based node expansion strategy,"Map preprocessing with edge detection, obstacle clustering, and convex hull expansion",Known simulation maps for multi-obstacle environments,"Successfully generates shorter, smoother paths without significantly increasing computational time",Real-world vehicle implementation and adaptation to dynamic environments
Research on trajectory planning of autonomous vehicles in constrained spaces,https://www.mdpi.com/1424-8220/24/17/5746/pdf,"Yunlong Li, Gang Li, Xizheng Wang",2024,Sensors (MDPI),Trajectory planning in complex narrow environments,Improves Hybrid A* with adaptive node expansion and back-end optimization,"Standard planning results in discrete, jerky paths that ignore vehicle dynamics","Adaptive node expansion, quadratic programming (QP) smoothing, and S-curve speed planning","Three-stage framework: Front-end Hybrid A* search, back-end QP refinement, and speed planning",Autonomous test platform experimental results,Significantly reduced expanded nodes and increased vehicle stability,Investigate high-speed dynamic environments with moving pedestrians or cars
Improved Path Planning Algorithms for Non-Holonomic Autonomous Vehicles,https://arxiv.org/pdf/2304.14043,"Alessandro Bonetti, Simone Guidetti, Lorenzo Sabattini",2023,arXiv (Computer Science - Robotics),Path planning for AMRs in constrained industrial settings,Introduces Roadmap Hybrid A* and Waypoint Hybrid A*,Standard Hybrid A* struggles with narrow corridors and precision maneuvers in factories,Uses pre-defined Bezier curves for critical areas integrated with global search algorithms,Environment partitioning via topological graphs and waypoint navigation,NetworkX Python library grid maps of industrial plants,Waypoint method achieves 40% faster run-time compared to standard methods,Test in dynamic environments and automate map partitioning
Path planning algorithms in the autonomous driving system: A review,https://www.sciencedirect.com/science/article/pii/S0921889024000137/pdfft?download=true,"Mohamed Reda, Ahmed Onsy, Amira Y. Haikal, Ali Ghanbari",2024,Robotics and Autonomous Systems,Classification of ADS path planning algorithms,Extensive survey of state-of-the-art path planning techniques for self-driving cars,Diversity of algorithms makes it difficult to choose the best method for real-time processing,"Structured taxonomy dividing algorithms into graph-based, sampling-based, interpolating, and AI-based","Systematic literature review comparing algorithms on completeness, optimality, and complexity","Analyzes results from KITTI, Cityscapes, and Waymo datasets",Hybrid approaches combining classical and AI methods are the most effective,Focus on improving explainability and safety of AI-based planners (XAI)
Benchmarking of Algorithm Efficiency in Solving Element Maze,https://rjwave.org/jaafr/papers/JAAFR2511448.pdf,"Prof. Ashwini Tekale (Guide), under the JSPM Narhe Technical Campus",2025,Journal of Advance and Future Research,Performance analysis and comparative efficiency benchmarking of maze-solving algorithms.,"This study evaluates the performance of seven different maze-solving algorithms (A*, Dijkstra, BFS, DFS, etc.) across various maze structures generated via Prim’s and DFS methods, focusing on execution time and node exploration.",The lack of a systematic comparison regarding which pathfinding algorithms perform most efficiently under different maze configurations,"Conducting a comprehensive benchmark of seven algorithms across three different grid sizes ($25\times25$, $50\times50$, $100\times100$) to gather empirical data on speed and resource usage.","Mazes were generated using Prim’s and DFS algorithms. Solutions were implemented using A* (with Manhattan distance heuristic), Dijkstra, BFS, DFS, Right/Left Wall Follower, and Dead-end Filling methods.",Not specified (The study relies on generated test environments),"The A* algorithm, utilizing Manhattan distance, proved to be the most efficient with the fastest execution time. Conversely, Dijkstra’s algorithm was found to be the least efficient due to excessive node exploration in unweighted maze environments.",Providing empirical evidence to guide the selection of optimal algorithms for various maze structures and resource-constrained environments.
Research on Path Planning for Robots with Improved A* Algorithm under Bidirectional JPS Strategy,https://doi.org/10.3390/app14135622,"Fujie Wang, Wei Sun, Pengfei Yan, Hongmei Wei, Huishan Lu",2024,Applied Sciences (Scopus indexed),Improved A* algorithm with bidirectional Jump Point Search (JPS) enhancements,"This paper proposes a series of enhancements to the classical A* algorithm to reduce excessive node expansions, shorten search times, and produce smoother and more efficient paths for mobile robot navigation. The approach incorporates heuristic refinement, a bidirectional search strategy based on Jump Point Search (JPS), and a multi-stage path smoothing process validated through simulation and physical robot experiments","Traditional A* suffers from high computational cost due to extensive node expansions, slow search times, and non-smooth paths (large turning angles), especially in large or complex grid spaces. These issues reduce efficiency and practical usability in real-world robotic navigation",Octile distance heuristic with adaptive weighting: Replaces the standard heuristic to better estimate true path cost and adapts the weight based on environmental obstacles.Bidirectional JPS search: Executes the search from both start and goal simultaneously while using JPS pruning to reduce unnecessary node expansions.Double path smoothing: Applies path smoothing methods to minimize redundant nodes and improve turning angles for practical execution by robots.,"Use Octile distance formula instead of Manhattan/Euclidean to improve heuristic accuracy.Introduce obstacle density constraints to adjust heuristic weights dynamically.Integrate Bidirectional JPS, which expands from both start and target and prunes grid nodes intelligently, reducing search complexity and memory usage.Apply two rounds of path smoothing, which removes redundant nodes and improves overall trajectory quality before deployment.Validate via simulation on multiple grid maps and experiments on real mobile robots to compare with baseline A* and JPS performance.",Simulation results are included within the article’s experiments; real-world experiment details and map data representations are within the paper itself.,"The improved A* algorithm significantly decreases computation time and node traversals while maintaining or improving path quality. In simulation tests, the proposed approach achieved dramatic reductions in average search time (up to ~79% compared to traditional A*) and better performance than JPS alone. Real robot experiments confirm these advantages in practical navigation tasks.","Consider extending this approach by integrating dynamic obstacle handling with replanning capabilities.Explore potential combination with learning-based heuristics to further enhance environmental adaptability.Evaluate performance on larger, real-world maps and irregular terrains for broader validation."
